,Name,gender,is alive,age,Death_Probability
778,Asia Argento,Female,yes,39,0.00134
797,Joan Armatrading,Female,yes,64,0.010879999999999999
804,Anne L. Armstrong,Female,no,81,0.055420000000000004
805,Bess Armstrong,Female,yes,61,0.00811
810,Gillian Armstrong,Female,yes,64,0.010879999999999999
812,Karen Armstrong,Female,yes,70,0.019119999999999998
817,Samaire Armstrong,Female,yes,34,0.00086
825,Lucie Arnaz,Female,yes,63,0.00987
830,Jeannetta Arnette,Female,yes,60,0.00734
831,Alison Arngrim,Female,yes,52,0.0033200000000000005
836,P. P. Arnold,Female,yes,68,0.01594
837,Tichina Arnold,Female,yes,43,0.0018
839,Katie Arnoldi,Female,yes,55,0.00447
851,Patricia Arquette,Female,yes,46,0.00214
852,Rosanna Arquette,Female,yes,55,0.00447
857,Martina Arroyo,Female,yes,77,0.036489999999999995
859,Gemma Arterton,Female,yes,28,0.0005200000000000001
861,Bea Arthur,Female,no,87,0.10690999999999999
862,Jean Arthur,Female,no,91,0.16549
863,Maureen Arthur,Female,yes,80,0.04965
870,Katie Aselton,Female,yes,36,0.0010400000000000001
873,Mary Kay Ash,Female,no,83,0.06888
875,Ashanti,Female,yes,34,0.00086
878,Jean Ashbrook,Female,yes,80,0.04965
885,Peggy Ashcroft,Female,no,84,0.07674
889,Danni Ashe,Female,yes,46,0.00214
891,Jane Asher,Female,yes,68,0.01594
894,Renée Asherson,Female,yes,99,0.32105
897,Evelyn Ashford,Female,yes,57,0.00547
901,Elizabeth Ashley,Female,yes,75,0.02998
903,Laura Ashley,Female,no,60,0.00734
909,Juli Ashton,Female,yes,45,0.00201
910,Sylvia Ashton-Warner,Female,no,76,0.03305
912,Asin,Female,yes,29,0.00055
917,Jari Askins,Female,yes,61,0.00811
935,Thea Astley,Female,no,79,0.04462
936,Brooke Astor,Female,no,105,0.45541000000000004
937,Mary Astor,Female,no,81,0.055420000000000004
952,Eileen Atkins,Female,yes,80,0.04965
